cohort,task,task_label,m0_body_pos_error,m3_body_pos_error,body_error_reduction_percent
LaFAN1,lafan1_Form_1_stageii_g1,Form 1,0.21401235560813858,0.18582151530023885,13.172529327941135
LaFAN1,lafan1_dance1_subject1,dance1,0.28656713513542414,0.24985929786335973,12.809507012978742
LaFAN1,lafan1_dance2_subject1,dance2,0.2960502282649976,0.28851539292220074,2.5451205989452426
LaFAN1,lafan1_fallAndGetUp1_subject1,fallAndGetUp1,0.37458393048643446,0.3971892680738046,-6.034785730934821
LaFAN1,lafan1_fallAndGetUp2_subject2,fallAndGetUp2,0.3539562574653866,0.35440208224417935,-0.1259547668362194
LaFAN1,lafan1_fight1_subject2,fight1,0.29881407707277696,0.23850282499419923,20.18353776013329
LaFAN1,lafan1_fightAndSports1_subject1,fightAndSports1,0.30988644657889614,0.1821011189563179,41.23617829476272
LaFAN1,lafan1_jumps1_subject1,jumps1,0.2871279667264141,0.16062082281589785,44.05949909820413
LaFAN1,lafan1_run1_subject2,run1,0.2522682066466362,0.1985286780890732,21.302537197181742
LaFAN1,lafan1_sprint1_subject2,sprint1,0.28608885368717163,0.21707305938524252,24.123901862110124
LaFAN1,lafan1_walk1_subject1,walk1,0.2462048235902638,0.14191604740725217,42.35854304648796
LaFAN1,lafan1_walk4_subject1,walk4,0.23405047924168224,0.3007866586977493,-28.513583767181604
AMASS,amass_accad_form_1,form 1,0.37284802932619426,0.20542270941773794,44.9044400773755
AMASS,amass_accad_run_change_direction,run change direction,0.4375651313198937,0.43129878515511555,1.4320944966240898
